category_id,views,likes,dislikes,comment_count,category
10,0.040416712,0.140265277,0.02232424,125882,Music
23,0.002389732,0.02276415,0.000867879,13030,Comedy
23,0.007517139,0.026013449,0.002745028,8181,Comedy
10,0.078964527,0.291090196,0.010839236,85067,Music
23,0.007037821,0.033393263,0.005064343,26629,Comedy
10,0.011937924,0.046954778,0.004413948,28976,Music
10,0.013470262,0.022707682,0.003667921,8063,Music
23,0.001313816,0.007937188,0.000319285,9619,Comedy
10,0.000420056,0.000772913,4.94E-05,876,Music
23,0.001235472,0.006138415,0.000121853,2490,Comedy
23,0.008577082,0.038937253,0.002986677,12649,Comedy
10,0.024940604,0.023644833,0.004530659,10847,Music
23,0.000332445,0.002556901,0.000103858,417,Comedy
10,0.001479778,0.006612423,0.001079708,1667,Music
10,0.022491608,0.033860146,0.007719909,11473,Music
10,0.002508195,0.006848982,0.000239592,2335,Music
10,0.001723098,0.002457147,0.000263243,376,Music
10,6.07E-05,0,0,6,Music
23,0.004349551,0.00474026,0.000659136,1221,Comedy
23,0.000131814,0.000305139,2.31E-05,127,Comedy
23,0.000803865,0.00786166,0.000537283,5485,Comedy
23,0.000890932,0.002950928,9.67E-05,2803,Comedy
23,0.000454903,0.003336583,0.00030746,2627,Comedy
10,4.65E-05,0.000190601,7.20E-06,132,Music
23,4.72E-05,7.84E-06,1.75E-05,8,Comedy
10,0.002056858,0.003963072,0.000387152,2550,Music
10,0.006225139,0.020626749,0.001570718,6410,Music
23,0.00354463,0.019351327,0.000803097,2913,Comedy
10,0.000147921,0.000179379,1.08E-05,55,Music
10,0.002230048,0.006766507,0.000419544,2006,Music
23,0.001135435,0.013574163,0.000245248,9580,Comedy
10,8.31E-05,0.000233174,1.39E-05,39,Music
10,3.96E-05,3.33E-05,0,5,Music
23,0.002222433,0.009406417,0.002523431,6065,Comedy
23,0.000686816,0.000467239,9.51E-05,347,Comedy
23,0.003644407,0.003190871,0.000283295,1678,Comedy
23,0.000912129,0.001748184,0.003455579,2382,Comedy
23,2.34E-05,5.88E-06,3.39E-05,7,Comedy
23,0.000555716,0.00523511,6.22E-05,3336,Comedy
10,0.002913644,0.004800112,0.000274554,701,Music
